"miRNA","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"hsa-miR-497-5p",6881.21907072454,-0.875983560943277,0.155694458189987,-5.6262989134421,1.84117189255686e-08,7.22501246113694e-08,"NS"
"hsa-miR-570-3p",21.4654561765827,1.45086012447274,0.258703383036793,5.60819927223913,2.04442556775285e-08,7.96765854829705e-08,"Up"
"hsa-miR-769-5p",668.116065134525,0.714773202819986,0.127799083109407,5.59294468652862,2.23250430930294e-08,8.64146225845834e-08,"NS"
"hsa-miR-26b-5p",89616.0649069656,-0.562783148808929,0.100963787148506,-5.57410894245817,2.48800009735194e-08,9.56535172563008e-08,"NS"
"hsa-miR-151a-5p",19059.8778117794,0.818509403400788,0.147304732578848,5.55657234544494,2.75123719523462e-08,1.0506402443547e-07,"NS"
"hsa-miR-191-5p",149386.93906344,0.674600158633676,0.121444757021761,5.55479030282714,2.7794522614973e-08,1.05433889119464e-07,"NS"
"hsa-miR-212-3p",210.877161074637,0.917792627279015,0.16569693981524,5.53898357026023,3.04232180745614e-08,1.1464113300944e-07,"NS"
"hsa-miR-455-3p",7368.01016930906,-0.840515388379961,0.151863937968001,-5.53466082617366,3.11831189158541e-08,1.16731543836322e-07,"NS"
"hsa-miR-24-1-5p",18.0391981369693,-0.800300714355052,0.145234838800259,-5.51039076413133,3.58037951121713e-08,1.33152675940036e-07,"NS"
"hsa-miR-16-2-3p",192.59526073866,0.848864934502756,0.154347402093819,5.49970341571918,3.80430598931862e-08,1.40561695319629e-07,"NS"
"hsa-miR-15b-5p",4705.45002468304,1.08675002812615,0.197950441774148,5.49001062279053,4.0190956979137e-08,1.47539706587929e-07,"Up"
"hsa-miR-539-3p",102.546258980813,1.99847796776169,0.368097152245323,5.42921333558643,5.66029908313279e-08,2.0645578066042e-07,"Up"
"hsa-miR-339-3p",530.457672399798,0.682260163319247,0.126199517228165,5.40620264090027,6.4374961662465e-08,2.31831349278118e-07,"NS"
"hsa-miR-6500-3p",13.584912567907,1.33063296580207,0.246109856408199,5.40666263928527,6.42099220555707e-08,2.31831349278118e-07,"Up"
"hsa-miR-629-3p",27.7568172166707,1.10187592487509,0.204738747278101,5.38186317697057,7.37187908357197e-08,2.63811270349211e-07,"Up"
"hsa-miR-579-3p",8.31689989408502,1.0498132225991,0.195974925437202,5.35687522399646,8.46735517031189e-08,3.01120318244217e-07,"Up"
"hsa-miR-425-3p",317.3974973297,0.672563116154794,0.12610677137576,5.33328312839568,9.64527427677582e-08,3.40879569160586e-07,"NS"
"hsa-miR-22-3p",218959.77780564,-0.661558084453642,0.124181666202623,-5.32734102129216,9.96609424324851e-08,3.50043680519037e-07,"NS"
"hsa-miR-331-5p",26.1881616546861,0.872650868306427,0.164666863374769,5.29949286955411,1.16124770995683e-07,4.05368065622966e-07,"NS"
"hsa-miR-195-3p",120.573347857087,-1.03042095812468,0.194764052554265,-5.29061161241539,1.2190799933217e-07,4.22961290365884e-07,"Down"
"hsa-miR-33a-5p",1423.18909539262,1.10621466896176,0.211575899702839,5.22845310130055,1.70934180621886e-07,5.89463931962745e-07,"Up"
"hsa-miR-542-3p",102.958464809829,-0.831641905233373,0.159928147578009,-5.20009715505344,1.99184382313078e-07,6.81004345955224e-07,"NS"
"hsa-miR-548o-3p",44.6021574131897,1.52005302093466,0.292348490963066,5.19945567677547,1.99872980271568e-07,6.81004345955224e-07,"Up"
"hsa-miR-511-3p",51.9377930139493,-1.03580061615008,0.19947154308731,-5.19272373451636,2.07239592159351e-07,7.01900761539706e-07,"Down"
"hsa-miR-3130-5p",18.0658955724918,0.905252435162367,0.175662944968528,5.15334884841282,2.55875328899703e-07,8.61497409135686e-07,"NS"
"hsa-miR-106a-5p",59.8263832189769,1.32942365420053,0.258509883741836,5.1426414919136,2.70902273794537e-07,9.06725845818186e-07,"Up"
"hsa-miR-493-5p",634.396208157525,1.67985254819379,0.32683227583254,5.13980005161577,2.75030976817374e-07,9.151615544391e-07,"Up"
"hsa-miR-450a-5p",351.940436379215,-0.803366310052211,0.156638517696634,-5.12879157608035,2.91607973417061e-07,9.646798655483e-07,"NS"
"hsa-miR-95-3p",526.533787288164,1.08736472151081,0.212718092831346,5.1117641524406,3.19164139267618e-07,1.04973638868945e-06,"Up"
"hsa-miR-2278",8.57136082299494,0.821958108901921,0.162404808147969,5.06116855944944,4.16694612470651e-07,1.3626392787115e-06,"NS"
"hsa-miR-127-3p",18043.4472517356,1.52847136976705,0.304387172825505,5.02147102842361,5.12772391632018e-07,1.66724280479211e-06,"Up"
"hsa-miR-431-5p",112.613542276886,1.53877572246083,0.306507697220346,5.02034936288931,5.15775853390496e-07,1.6674798896545e-06,"Up"
"hsa-miR-10a-3p",71.1639046602548,-0.901814954664078,0.181157512781325,-4.97807096608052,6.42211111867295e-07,2.0645091675282e-06,"NS"
"hsa-miR-1908-5p",27.2679159818539,1.61293220388606,0.32561543830419,4.95348811557041,7.2894812363826e-07,2.31715911927469e-06,"Up"
"hsa-miR-149-5p",394.994204776448,1.22793110394792,0.247841008836865,4.95451140112239,7.25122651059793e-07,2.31715911927469e-06,"Up"
"hsa-miR-5590-3p",23.1134834569329,-1.14169886524449,0.230679380193602,-4.94928876731983,7.44851669111343e-07,2.35455888735752e-06,"Down"
"hsa-miR-330-3p",75.3191066699547,0.745327246232992,0.151894821195165,4.90686410746911,9.25441050680354e-07,2.90925943556421e-06,"NS"
"hsa-miR-185-5p",3090.9152265792,0.625548130638077,0.127666975480726,4.89984295690091,9.59132891900988e-07,2.99860777742672e-06,"NS"
"hsa-miR-628-3p",58.2745301226791,0.741898793615359,0.151714806459884,4.89008825787568,1.0079077612672e-06,3.133877137492e-06,"NS"
"hsa-miR-548b-3p",53.8753440168369,1.23997436309311,0.254904438581889,4.86446752356086,1.14765348627315e-06,3.54899366135556e-06,"Up"
"hsa-miR-4772-3p",16.6197398084026,-0.908380690217294,0.188054551868423,-4.83041054413224,1.36251819562974e-06,4.19066407196389e-06,"NS"
"hsa-miR-940",67.6892492850974,0.862955791896142,0.178698106899368,4.82912665875139,1.37133164860249e-06,4.19509520459578e-06,"NS"
